[2025-06-26 17:31:11] [INFO    ] discord.client: logging in using static token
[2025-06-26 17:31:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'beginner_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1387858834319736922', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7174', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '62b98e82d01d52b2f24ffc0295dad1bd', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1387866254295044096'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1387858834319736922', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-p9rt",{"micros":143317,"calls":["id_created",{"micros":1181,"calls":[]},"session_lookup_time",{"micros":328,"calls":[]},"session_lookup_finished",{"micros":34,"calls":[]},"discord-sessions-prd-2-59",{"micros":141384,"calls":["start_session",{"micros":132759,"calls":["discord-api-rpc-8546bd565d-n49cv",{"micros":110584,"calls":["get_user",{"micros":13720},"get_guilds",{"micros":5070},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":5522},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":9907},"apex_experiments",{"micros":5},"user_activities",{"micros":3},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":59,"calls":[]},"presence_started",{"micros":6552,"calls":[]},"guilds_started",{"micros":85,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":1906,"calls":[]},"connect_finished",{"micros":1910,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-06-26 17:31:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 17:31:12] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 62b98e82d01d52b2f24ffc0295dad1bd).
[2025-06-26 17:31:12] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-26 17:31:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'presences': [], 'moderator_reporting': None, 'max_video_channel_users': 25, 'guild_scheduled_events': [], 'emojis': [], 'large': False, 'application_id': None, 'hub_type': None, 'profile': None, 'features': [], 'lazy': True, 'activity_instances': [], 'stage_instances': [], 'roles': [{'version': 1750963500828, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1387866254295044096', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750969986330, 'unicode_emoji': None, 'tags': {'bot_id': '1387858834319736922'}, 'position': 2, 'permissions': '563276639759424', 'name': 'beginner_bot', 'mentionable': False, 'managed': True, 'id': '1387866398591811654', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750969986328, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'TestRole', 'mentionable': False, 'managed': False, 'id': '1387891286639644772', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15158332}, 'color': 15158332}], 'premium_tier': 0, 'id': '1387866254295044096', 'inventory_settings': None, 'name': 'Test Server', 'application_command_counts': {}, 'threads': [], 'afk_channel_id': None, 'system_channel_id': '1387866256320757835', 'discovery_splash': None, 'latest_onboarding_question_id': None, 'max_members': 500000, 'description': None, 'nsfw_level': 0, 'system_channel_flags': 0, 'banner': None, 'default_message_notifications': 0, 'premium_subscription_count': 0, 'incidents_data': None, 'safety_alerts_channel_id': None, 'region': 'deprecated', 'stickers': [], 'verification_level': 0, 'afk_timeout': 300, 'unavailable': False, 'vanity_url_code': None, 'splash': None, 'joined_at': '2025-06-26T18:45:34.783075+00:00', 'members': [{'user': {'username': 'beginner_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1387858834319736922', 'global_name': None, 'display_name': None, 'discriminator': '7174', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1387866398591811654'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-26T18:45:34.783075+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_progress_bar_enabled': False, 'premium_features': None, 'mfa_level': 0, 'max_stage_video_channel_users': 50, 'rules_channel_id': None, 'channels': [{'version': 1750963500831, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1387866256320757833', 'flags': 0}, {'version': 1750963500850, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1387866256320757834', 'flags': 0}, {'version': 1750963500876, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1387866256320757833', 'name': 'general', 'last_message_id': '1387907925078577252', 'id': '1387866256320757835', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1750963500900, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1387866256320757834', 'name': 'General', 'last_message_id': None, 'id': '1387866256320757836', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'owner_id': '592033323954602017', 'nsfw': False, 'icon': None, 'voice_states': [], 'explicit_content_filter': 0, 'public_updates_channel_id': None, 'owner_configured_content_level': 0, 'preferred_locale': 'en-US', 'version': 1750969463677, 'member_count': 2, 'embedded_activities': [], 'soundboard_sounds': [], 'home_header': None}}
[2025-06-26 17:31:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 17:31:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'dd19c1ee758cbfa7c1c62be87096c1b3', 'members': [{'user': {'username': 'casenoriekus', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '592033323954602017', 'global_name': 'Casenoriekus', 'display_name': 'Casenoriekus', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1371949732066234571', 'expires_at': 1752969600, 'asset': 'a_c5dbb475f7766708d9b1b4e685379cec'}, 'avatar': '8aab3fed244393508ed54a01029440b0'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-26T18:45:00.357000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'beginner_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1387858834319736922', 'global_name': None, 'display_name': None, 'discriminator': '7174', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1387866398591811654'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-26T18:45:34.783075+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1387866254295044096', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-26 17:31:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 17:31:12] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1387866254295044096.
[2025-06-26 17:31:14] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-26 17:31:14] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-26 17:31:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '592033323954602017', 'timestamp': 1750973457, 'member': {'user': {'username': 'casenoriekus', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '592033323954602017', 'global_name': 'Casenoriekus', 'display_name': 'Casenoriekus', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1371949732066234571', 'expires_at': 1752969600, 'asset': 'a_c5dbb475f7766708d9b1b4e685379cec'}, 'avatar': '8aab3fed244393508ed54a01029440b0'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-26T18:45:00.357000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1387866256320757835', 'guild_id': '1387866254295044096'}}
[2025-06-26 17:31:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 17:31:15] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-26 17:31:15] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-06-26 17:31:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-26T21:31:01.374000+00:00', 'pinned': False, 'nonce': '1387923205041160192', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-26T18:45:00.357000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1387908033933480176', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll okay?', 'components': [], 'channel_type': 0, 'channel_id': '1387866256320757835', 'author': {'username': 'casenoriekus', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '592033323954602017', 'global_name': 'Casenoriekus', 'discriminator': '0', 'collectibles': None, 'clan': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'avatar_decoration_data': {'sku_id': '1371949732066234571', 'expires_at': 1752969600, 'asset': 'a_c5dbb475f7766708d9b1b4e685379cec'}, 'avatar': '8aab3fed244393508ed54a01029440b0'}, 'attachments': [], 'guild_id': '1387866254295044096'}}
[2025-06-26 17:31:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 17:31:18] [DEBUG   ] discord.client: Dispatching event message
[2025-06-26 17:31:18] [DEBUG   ] discord.client: Dispatching event command
[2025-06-26 17:31:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-26T21:31:01.459000+00:00', 'pinned': False, 'nonce': '7445985849812822925', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1387866398591811654'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-26T18:45:34.783075+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1387908034289991701', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1387908034289991702', 'description': 'okay?', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1387866256320757835', 'author': {'username': 'beginner_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1387858834319736922', 'global_name': None, 'discriminator': '7174', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1387866254295044096'}}
[2025-06-26 17:31:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 17:31:18] [DEBUG   ] discord.client: Dispatching event message
[2025-06-26 17:31:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1387866256320757835/messages with {"embeds":[{"flags":0,"type":"rich","description":"okay?","title":"New Poll"}],"content":null,"components":[],"nonce":"7445985849812822925","enforce_nonce":true,"tts":false} has returned 200
[2025-06-26 17:31:18] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-26 17:31:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1387866256320757835/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'okay?', 'content_scan_version': 0}], 'timestamp': '2025-06-26T21:31:01.459000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1387908034289991701', 'channel_id': '1387866256320757835', 'author': {'id': '1387858834319736922', 'username': 'beginner_bot', 'avatar': None, 'discriminator': '7174', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '7445985849812822925'}
[2025-06-26 17:31:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1387858834319736922', 'type': 0, 'message_id': '1387908034289991701', 'message_author_id': '1387858834319736922', 'member': {'user': {'username': 'beginner_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1387858834319736922', 'global_name': None, 'display_name': None, 'discriminator': '7174', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1387866398591811654'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-26T18:45:34.783075+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '🅾️', 'id': None}, 'channel_id': '1387866256320757835', 'burst': False, 'guild_id': '1387866254295044096'}}
[2025-06-26 17:31:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 17:31:18] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-06-26 17:31:18] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-06-26 17:31:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1387866256320757835/messages/1387908034289991701/reactions/%F0%9F%85%BE%EF%B8%8F/@me with None has returned 204
[2025-06-26 17:31:19] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-06-26 17:31:19] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-06-26 17:31:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1387866256320757835/messages/1387908034289991701/reactions/%F0%9F%85%BE%EF%B8%8F/@me has received 
[2025-06-26 17:31:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1387858834319736922', 'type': 0, 'message_id': '1387908034289991701', 'message_author_id': '1387858834319736922', 'member': {'user': {'username': 'beginner_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1387858834319736922', 'global_name': None, 'display_name': None, 'discriminator': '7174', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1387866398591811654'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-26T18:45:34.783075+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '❌', 'id': None}, 'channel_id': '1387866256320757835', 'burst': False, 'guild_id': '1387866254295044096'}}
[2025-06-26 17:31:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-26 17:31:19] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-06-26 17:31:19] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-06-26 17:31:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1387866256320757835/messages/1387908034289991701/reactions/%E2%9D%8C/@me with None has returned 204
[2025-06-26 17:31:19] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-06-26 17:31:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1387866256320757835/messages/1387908034289991701/reactions/%E2%9D%8C/@me has received 
[2025-06-26 17:31:19] [DEBUG   ] discord.client: Dispatching event command_completion
